activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp,pIC50,standardized_smiles,mol_weight,logp,hbd,hba,rotatable_bonds,heavy_atoms,aromatic_rings,tpsa,query_id,cid,iupac_name,isomeric_smiles,molecular_formula,xlogp,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,rotatable_bond_count,complexity
24348978.0,CHEMBL5031734,CHEMBL5073622,,=,IC50,nM,5.012e-09,CHEMBL203,pIC50,,17.3,TAK-020,C=CC(=O)N1CC[C@H](Oc2nc(-c3n[nH]c(=O)[nH]3)cc3ccccc23)C1,,,17.299988937677888,C=CC(=O)N1CC[C@H](Oc2nc(-c3n[nH]c(=O)[nH]3)cc3ccccc23)C1,351.3660000000001,1.4788999999999992,2.0,5.0,4.0,26.0,3.0,103.97,,,,,,,,,,
22844190.0,CHEMBL4721173,CHEMBL3353410,,=,IC50,nM,0.002,CHEMBL203,IC50,nM,0.002,OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,,,11.698970004336019,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,499.6190000000003,4.509800000000003,2.0,8.0,10.0,37.0,4.0,87.55,,,,,,,,,,
1044894.0,CHEMBL683040,CHEMBL63786,,=,IC50,nM,0.003,CHEMBL203,IC50,nM,0.003,,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,,,11.522878745280337,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,350.21900000000005,5.289100000000002,1.0,3.0,2.0,22.0,4.0,37.81,,,,,,,,,,
2202750.0,CHEMBL941404,CHEMBL103552,,=,IC50,ug.mL-1,0.004,CHEMBL203,IC50,10'-3 ug/ml,4.0,LAVENDUSTIN A,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,,,11.397940008672037,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,381.38400000000007,3.414000000000002,5.0,6.0,6.0,28.0,3.0,121.46000000000001,,,,,,,,,,
720032.0,CHEMBL674648,CHEMBL53711,,=,IC50,nM,0.006,CHEMBL203,IC50,nM,0.006,,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,11.221848749616356,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,344.216,3.5969000000000015,1.0,5.0,3.0,21.0,3.0,53.94,,,,,,,,,,
2136934.0,CHEMBL939337,CHEMBL35820,,=,IC50,nM,0.006,CHEMBL203,IC50,pM,6.0,,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,,,11.221848749616356,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,388.26500000000016,4.933300000000004,1.0,5.0,6.0,24.0,3.0,56.27000000000001,,,,,,,,,,
25098067.0,CHEMBL5260455,CHEMBL5270693,,=,IC50,nM,0.008,CHEMBL203,IC50,nM,0.008,,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,,,11.096910013008056,COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,562.6740000000002,6.126700000000006,2.0,8.0,8.0,42.0,5.0,95.61,,,,,,,,,,
428391.0,CHEMBL679944,CHEMBL66031,,=,IC50,nM,0.008,CHEMBL203,IC50,nM,0.008,,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,,,11.096910013008056,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,340.184,4.012200000000001,2.0,4.0,2.0,21.0,4.0,66.49000000000001,,,,,,,,,,
1084597.0,CHEMBL680021,CHEMBL53753,,=,IC50,nM,0.008,CHEMBL203,IC50,nM,0.008,,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,11.096910013008056,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,330.189,3.572600000000002,2.0,5.0,3.0,20.0,3.0,62.730000000000004,,,,,,,,,,
26153965.0,CHEMBL5626876,CHEMBL5633067,,=,IC50,nM,0.009,CHEMBL203,IC50,nM,0.009,,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,,,11.045757490560675,COCCOc1cc2ncnc(Nc3cccc(OS(=O)(=O)F)c3)c2cc1OCCOC,467.4750000000003,3.0169000000000015,1.0,10.0,12.0,32.0,3.0,118.1,,,,,,,,,,
