activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp
32260,CHEMBL674637,CHEMBL68920,7.39,=,IC50,nM,41.0,CHEMBL203,IC50,uM,0.041,,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,
32267,CHEMBL674637,CHEMBL69960,6.77,=,IC50,nM,170.0,CHEMBL203,IC50,uM,0.17,,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,
32680,CHEMBL677833,CHEMBL137635,5.03,=,IC50,nM,9300.0,CHEMBL203,IC50,uM,9.3,,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,,
32770,CHEMBL674643,CHEMBL306988,,=,IC50,nM,500000.0,CHEMBL203,IC50,uM,500.0,,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,,
32772,CHEMBL674643,CHEMBL66879,,=,IC50,nM,3000000.0,CHEMBL203,IC50,uM,3000.0,COUMARIC ACID,O=C(O)/C=C/c1ccc(O)cc1,,
32780,CHEMBL674643,CHEMBL77085,4.02,=,IC50,nM,96000.0,CHEMBL203,IC50,uM,96.0,,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],,
33406,CHEMBL674637,CHEMBL443268,5.28,=,IC50,nM,5310.0,CHEMBL203,IC50,uM,5.31,,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,,
34039,CHEMBL674643,CHEMBL76979,,=,IC50,nM,264000.0,CHEMBL203,IC50,uM,264.0,,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,,
34041,CHEMBL674643,CHEMBL76589,6.90,=,IC50,nM,125.0,CHEMBL203,IC50,uM,0.125,,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,,
34049,CHEMBL674643,CHEMBL76904,4.46,=,IC50,nM,35000.0,CHEMBL203,IC50,uM,35.0,TYRPHOSTIN 23,N#CC(C#N)=Cc1ccc(O)c(O)c1,,
34051,CHEMBL674643,CHEMBL1009,,=,IC50,nM,900000.0,CHEMBL203,IC50,uM,900.0,LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,
34669,CHEMBL674637,CHEMBL304271,9.35,=,IC50,nM,0.45,CHEMBL203,IC50,uM,0.00045,,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,
35294,CHEMBL674643,CHEMBL296407,5.00,=,IC50,nM,10000.0,CHEMBL203,IC50,uM,10.0,,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,,
